BSSID,Level,Room,Model,Time
9c:50:ee:3f:8d:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:74:21,-110,0,OPPO A57,2017/8/15 21:22
d4:b1:10:ac:62:41,-110,0,OPPO A57,2017/8/15 21:22
a8:58:40:59:ab:e0,-110,0,OPPO A57,2017/8/15 21:22
4c:e6:76:64:df:00,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:36:80,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:74:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9e:e1,-64,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:90:80,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:a2:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9e:a0,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:21:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:a0:c1,-110,0,OPPO A57,2017/8/15 21:22
d8:c8:e9:52:da:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:90:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:a2:21,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:49:fc:c1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:98:c1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:90:21,-93,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:90:61,-76,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9d:a0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9c:60,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:49:fd:40,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8a:21,-110,0,OPPO A57,2017/8/15 21:22
cc:34:29:6d:f3:56,-62,0,OPPO A57,2017/8/15 21:22
b0:75:d5:5f:d3:b1,-82,0,OPPO A57,2017/8/15 21:22
a8:58:40:59:ac:80,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:c0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9f:21,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:93:81,-110,0,OPPO A57,2017/8/15 21:22
bc:85:56:78:5b:90,-110,0,OPPO A57,2017/8/15 21:22
